CID,BDATE,GEN
NASAW00011181,01-02-1960,Male
NASAW00011182,22-02-1950,Female
NASAW00011183,12-01-1950,Female
NASAW00011184,13-11-1955,Female
NASAW00011185,07-04-1950,Female
NASAW00011186,18-11-1949,Female
NASAW00011187,21-08-1949,Female
NASAW00011188,06-03-1950,Female
NASAW00011189,12-01-1950,Male
NASAW00011190,20-12-1949,Male
NASAW00011191,17-06-1951,Female
NASAW00011192,13-03-1951,Male
NASAW00011193,13-08-1950,Male
NASAW00011194,08-12-1950,Female
NASAW00011195,10-08-1951,Female
NASAW00011196,05-12-1951,Male
NASAW00011197,16-12-1951,Female
NASAW00011198,25-05-1952,Female
NASAW00011199,02-11-1957,Female
NASAW00011200,21-05-1953,Male
NASAW00011201,14-02-1953,Female
NASAW00011202,22-08-1958,Female
NASAW00011203,18-08-1959,Male
NASAW00011204,29-11-1953,Female
NASAW00011205,21-01-1954,Female
NASAW00011206,24-03-1954,Male
NASAW00011207,16-01-1954,Female
NASAW00011208,03-08-1953,Female
NASAW00011209,12-07-1953,Female
NASAW00011210,06-12-1953,Male
NASAW00011211,08-10-1960,Female
NASAW00011212,05-05-1955,Female
NASAW00011213,11-11-1954,Female
NASAW00011214,07-05-1955,Male
NASAW00011215,17-06-1961,Female
NASAW00011216,17-11-1955,Female
NASAW00011217,11-08-1955,Female
NASAW00011218,07-09-1961,Female
NASAW00011219,31-05-1956,Male
NASAW00011220,19-02-1961,Female
NASAW00011221,08-12-1955,Male
NASAW00011222,14-02-1956,Female
NASAW00011223,15-03-1957,Female
NASAW00011224,05-03-1957,Female
NASAW00011225,12-02-1962,Female
NASAW00011226,23-09-1962,Female
NASAW00011227,08-08-1962,Male
NASAW00011228,16-10-1956,Female
NASAW00011229,01-06-1957,Male
NASAW00011230,30-09-1956,Female
NASAW00011231,11-11-1963,Male
NASAW00011232,27-03-1958,Female
NASAW00011233,06-09-1963,Male
NASAW00011234,19-05-1958,Female
NASAW00011235,07-08-1957,Male
NASAW00011236,02-09-1957,Male
NASAW00011237,22-03-1964,Male
NASAW00011238,07-02-1964,Female
NASAW00011239,02-10-1969,Female
NASAW00011240,09-06-1964,Female
NASAW00011241,06-04-1974,Female
NASAW00011242,11-05-1963,Male
NASAW00011243,08-04-1963,Female
NASAW00011244,22-11-1968,Female
NASAW00011245,26-04-1962,Male
NASAW00011246,08-04-1962,Female
NASAW00011247,04-12-1961,Female
NASAW00011248,22-03-1966,Male
NASAW00011249,09-07-1966,Female
NASAW00011250,08-03-1966,Female
NASAW00011251,01-01-1938,Male
NASAW00011252,05-12-1937,Male
NASAW00011253,24-08-1949,Male
NASAW00011254,31-08-1938,Male
NASAW00011255,02-10-1938,Male
NASAW00011256,20-03-1939,Female
NASAW00011257,06-07-2050,Female
NASAW00011258,26-12-1938,Male
NASAW00011259,24-09-1970,Female
NASAW00011260,08-04-1976,Female
NASAW00011261,22-10-1970,Female
NASAW00011262,01-05-1975,Female
NASAW00011263,11-03-1970,Female
NASAW00011264,15-12-1969,Male
NASAW00011265,10-01-1970,Female
NASAW00011266,02-11-1969,Female
NASAW00011267,29-09-1975,Male
NASAW00011268,31-10-1969,Female
NASAW00011269,10-10-1975,Male
NASAW00011270,01-05-1975,Male
NASAW00011271,03-12-1969,Female
NASAW00011272,10-05-1962,Female
NASAW00011273,31-03-1962,Male
NASAW00011274,10-10-1939,Male
NASAW00011275,18-07-1939,Female
NASAW00011276,15-09-1974,Female
NASAW00011277,07-12-1968,Male
NASAW00011278,16-02-1969,Male
NASAW00011279,08-09-1974,Female
NASAW00011280,17-02-1969,Male
NASAW00011281,06-10-1974,Female
NASAW00011282,16-07-1967,Male
NASAW00011283,24-04-1968,Male
NASAW00011284,24-09-1967,Female
NASAW00011285,15-03-1973,Male
NASAW00011286,31-08-1967,Male
NASAW00011287,16-07-1966,Male
NASAW00011288,12-03-1978,Female
NASAW00011289,03-03-1972,Female
NASAW00011290,14-08-1972,Female
NASAW00011291,01-05-1972,Female
NASAW00011292,05-05-1967,Male
NASAW00011293,23-11-1960,Male
NASAW00011294,02-03-1961,Male
NASAW00011295,13-11-1959,Female
NASAW00011296,05-04-1941,Female
NASAW00011297,01-08-1940,Male
NASAW00011298,30-08-1940,Male
NASAW00011299,29-09-1941,Male
NASAW00011300,31-08-1965,Male
NASAW00011301,07-12-1965,Male
NASAW00011302,09-12-1971,Male
NASAW00011303,10-04-1966,Female
NASAW00011304,14-03-1971,Female
NASAW00011305,17-12-1965,Male
NASAW00011306,20-12-1965,Male
NASAW00011307,31-10-1965,Male
NASAW00011308,02-09-1959,Male
NASAW00011309,10-12-1959,Female
NASAW00011310,05-07-1964,Female
NASAW00011311,21-02-1959,Female
NASAW00011312,01-10-1958,Female
NASAW00011313,27-08-1958,Male
NASAW00011314,16-06-1970,Female
NASAW00011315,31-03-1959,Female
NASAW00011316,17-05-1959,Male
NASAW00011317,14-09-1963,Female
NASAW00011318,25-04-1958,Female
NASAW00011319,23-04-1948,Female
NASAW00011320,24-12-1942,Female
NASAW00011321,05-01-1944,Male
NASAW00011322,12-09-1943,Female
NASAW00011323,18-12-1943,Male
NASAW00011324,10-11-1944,Male
NASAW00011325,29-12-1944,Male
NASAW00011326,23-12-1944,Male
NASAW00011327,01-09-1945,Male
NASAW00011328,30-06-1945,Male
NASAW00011329,22-01-1946,Male
NASAW00011330,10-11-1945,Male
NASAW00011331,03-01-1974,Female
NASAW00011332,02-04-1968,Female
NASAW00011333,07-01-1968,Female
NASAW00011334,19-09-1966,Female
NASAW00011335,18-12-1977,Female
NASAW00011336,08-03-1973,Male
NASAW00011337,21-03-1967,Male
NASAW00011338,06-08-1972,Male
NASAW00011339,05-01-1967,Male
NASAW00011340,03-04-1947,Female
NASAW00011341,18-02-1942,Male
NASAW00011342,07-03-1973,Male
NASAW00011343,09-03-1975,Male
NASAW00011344,21-01-1963,Female
NASAW00011345,09-09-1962,Female
NASAW00011346,18-05-1966,Female
NASAW00011347,17-06-1972,Male
NASAW00011348,21-03-1961,Male
NASAW00011349,30-08-1965,Female
NASAW00011350,14-07-1942,Female
NASAW00011351,02-04-1950,Female
NASAW00011352,04-09-1945,Male
NASAW00011353,09-12-1946,Female
NASAW00011354,23-08-1947,Female
NASAW00011355,26-06-1948,Male
NASAW00011356,24-11-1985,Male
NASAW00011357,19-09-1984,Male
NASAW00011358,10-05-1984,Female
NASAW00011359,03-03-1984,Male
NASAW00011360,30-01-1984,Male
NASAW00011361,26-10-1982,Female
NASAW00011362,11-05-1983,Male
NASAW00011363,19-04-1983,Male
NASAW00011364,22-03-1985,Female
NASAW00011365,06-12-1984,Female
NASAW00011366,23-04-1985,Female
NASAW00011367,21-08-1984,Male
NASAW00011368,24-05-1984,Male
NASAW00011369,01-02-1984,Female
NASAW00011370,29-09-1983,Female
NASAW00011371,24-11-1983,Female
NASAW00011372,12-11-1983,Female
NASAW00011373,16-09-1954,Female
NASAW00011374,25-12-1948,Male
NASAW00011375,05-11-1948,Male
NASAW00011376,07-12-1948,Male
NASAW00011377,23-08-1966,Male
NASAW00011378,19-11-1965,Female
NASAW00011379,13-05-1976,Male
NASAW00011380,29-08-1964,Male
NASAW00011381,18-08-1970,Female
NASAW00011382,15-07-1974,Male
NASAW00011383,25-02-1966,Female
NASAW00011384,13-10-1971,Female
NASAW00011385,08-08-1971,Male
NASAW00011386,02-11-1971,Female
NASAW00011387,29-11-1964,Female
NASAW00011388,20-01-1965,Male
NASAW00011389,20-04-1981,Male
NASAW00011390,17-04-1976,Female
NASAW00011391,25-06-1976,Female
NASAW00011392,03-02-1981,Male
NASAW00011393,17-07-1974,Male
NASAW00011394,22-04-1975,Male
NASAW00011395,16-04-1976,Female
NASAW00011396,04-04-1975,Male
NASAW00011397,02-12-1974,Female
NASAW00011398,09-03-1975,Male
NASAW00011399,01-02-1975,Female
NASAW00011400,15-04-1980,Male
NASAW00011401,23-02-1975,Female
NASAW00011402,20-05-1975,Female
NASAW00011403,06-01-1980,Female
NASAW00011404,30-06-1957,Female
NASAW00011405,16-08-1957,Female
NASAW00011406,31-12-1957,Female
NASAW00011407,30-09-1957,Male
NASAW00011408,10-05-1964,Male
NASAW00011409,02-03-1979,Female
NASAW00011410,22-02-2042,Male
NASAW00011411,12-08-1959,Male
NASAW00011412,07-10-1959,Female
NASAW00011413,13-10-1959,Female
NASAW00011414,15-09-1959,Male
NASAW00011415,03-12-1949,Male
NASAW00011416,16-09-1950,Female
NASAW00011417,26-08-1950,Female
NASAW00011418,09-08-1950,Male
NASAW00011419,18-08-1950,Male
NASAW00011420,09-01-1952,Male
NASAW00011421,16-01-1952,Female
NASAW00011422,29-02-1952,Male
NASAW00011423,04-05-1960,Female
NASAW00011424,03-12-1964,Female
NASAW00011425,02-08-1965,Female
NASAW00011426,01-04-1959,Male
NASAW00011427,17-06-1959,Female
NASAW00011428,19-02-1959,Female
NASAW00011429,13-01-1958,Male
NASAW00011430,21-09-1957,Female
NASAW00011431,20-10-1974,Male
NASAW00011432,10-03-1957,Female
NASAW00011433,01-03-1957,Male
NASAW00011434,02-05-1962,Male
NASAW00011435,03-09-1955,Female
NASAW00011436,17-03-1956,Female
NASAW00011437,16-06-1955,Male
NASAW00011438,13-04-1955,Female
NASAW00011439,14-11-1953,Female
NASAW00011440,26-03-1953,Male
NASAW00011441,09-12-1952,Female
NASAW00011442,13-05-1953,Male
NASAW00011443,19-11-1981,Female
NASAW00011444,26-10-1981,Female
NASAW00011445,18-01-1980,Female
NASAW00011446,09-02-1980,Female
NASAW00011447,13-02-1980,Female
NASAW00011448,25-10-1980,Male
NASAW00011449,01-08-1980,Male
NASAW00011450,11-05-1981,Male
NASAW00011451,08-05-1980,Male
NASAW00011452,05-05-1979,Female
NASAW00011453,17-08-1984,Male
NASAW00011454,20-10-1979,Female
NASAW00011455,19-10-1979,Male
NASAW00011456,05-01-1980,Male
NASAW00011457,18-11-1978,Female
NASAW00011458,03-10-1978,Female
NASAW00011459,12-04-1978,Female
NASAW00011460,04-10-1983,Male
NASAW00011461,22-09-1977,Male
NASAW00011462,18-07-1977,Female
NASAW00011463,09-09-1977,Female
NASAW00011464,15-05-1977,Male
NASAW00011465,18-08-1976,Male
NASAW00011466,30-01-1977,Male
NASAW00011467,06-04-1975,Male
NASAW00011468,15-12-1980,Female
NASAW00011469,14-10-1978,Male
NASAW00011470,25-03-1979,Male
NASAW00011471,25-03-1979,Female
NASAW00011472,30-09-1968,Male
NASAW00011473,30-01-1986,Female
NASAW00011474,21-08-1985,Male
NASAW00011475,07-04-1984,Male
NASAW00011476,16-05-1980,Female
NASAW00011477,21-06-1984,Male
NASAW00011478,22-02-1984,Male
NASAW00011479,20-10-1978,Male
NASAW00011480,07-03-1984,Female
NASAW00011481,20-11-1978,Female
NASAW00011482,16-01-1978,Female
NASAW00011483,19-05-1983,Male
NASAW00011484,03-03-1983,Male
NASAW00011485,04-02-1978,Male
NASAW00011486,21-05-1982,Female
NASAW00011487,05-01-1977,Female
NASAW00011488,20-03-1977,Male
NASAW00011489,03-09-1976,Female
NASAW00011490,05-07-1976,Male
NASAW00011491,02-04-1982,Male
NASAW00011492,15-11-1982,Male
NASAW00011493,31-05-1976,Female
NASAW00011494,25-01-1976,Male
NASAW00011495,03-03-1977,Male
NASAW00011496,15-04-1976,Male
NASAW00011497,22-11-1981,Female
NASAW00011498,15-07-1979,Male
NASAW00011499,13-05-1980,Male
NASAW00011500,17-03-1980,Female
NASAW00011501,03-01-1981,Female
NASAW00011502,03-09-1980,Male
NASAW00011503,11-04-1936,Male
NASAW00011504,17-10-1936,Female
NASAW00011505,04-01-1972,Female
NASAW00011506,14-11-1971,Male
NASAW00011507,19-05-1972,Female
NASAW00011508,04-01-1972,Female
NASAW00011509,22-07-1964,Female
NASAW00011510,10-01-1959,Male
NASAW00011511,10-06-1964,Male
NASAW00011512,05-08-1976,Female
NASAW00011513,23-09-1965,Female
NASAW00011514,16-04-1965,Male
NASAW00011515,25-08-1959,Female
NASAW00011516,13-10-1976,Female
NASAW00011517,18-12-1959,Female
NASAW00011518,06-11-1960,Male
NASAW00011519,13-09-1960,Male
NASAW00011520,08-10-1960,Female
NASAW00011521,01-12-1977,Female
NASAW00011522,17-06-1972,Male
NASAW00011523,07-02-1962,Male
NASAW00011524,22-07-1961,Female
NASAW00011525,08-07-1961,Female
NASAW00011526,30-01-1973,Female
NASAW00011527,02-12-1961,Female
NASAW00011528,15-08-1968,Female
NASAW00011529,16-05-1963,Male
NASAW00011530,23-01-1963,Male
NASAW00011531,07-07-1962,Female
NASAW00011532,26-08-1962,Female
NASAW00011533,17-07-1968,Female
NASAW00011534,12-05-1964,Male
NASAW00011535,31-12-1963,Male
NASAW00011536,13-04-1969,Male
NASAW00011537,21-09-1963,Male
NASAW00011538,24-02-1965,Female
NASAW00011539,18-08-1970,Male
NASAW00011540,24-01-1970,Male
NASAW00011541,09-10-1964,Male
NASAW00011542,07-09-1979,Male
NASAW00011543,16-08-1973,Female
NASAW00011544,04-05-1979,Male
NASAW00011545,22-09-1973,Male
NASAW00011546,11-09-1973,Female
NASAW00011547,05-03-1979,Female
NASAW00011548,11-04-1974,Male
NASAW00011549,03-09-1979,Female
NASAW00011550,05-08-1979,Female
NASAW00011551,21-05-2050,Male
NASAW00011552,23-11-1972,Male
NASAW00011553,08-03-1973,Female
NASAW00011554,27-03-1932,Female
NASAW00011555,04-07-1937,Female
NASAW00011556,10-11-1972,Male
NASAW00011557,14-07-1972,Female
NASAW00011558,18-02-1973,Male
NASAW00011559,12-12-1978,Male
NASAW00011560,09-08-1978,Female
NASAW00011561,21-01-1972,Female
NASAW00011562,17-10-2038,Male
NASAW00011563,01-08-1971,Male
NASAW00011564,09-01-1972,Male
NASAW00011565,30-12-1971,Male
NASAW00011566,01-03-1973,Female
NASAW00011567,19-09-1978,Female
NASAW00011568,21-04-1972,Female
NASAW00011569,06-05-1977,Male
NASAW00011570,22-07-1971,Female
NASAW00011571,15-11-1971,Male
NASAW00011572,11-03-1977,Male
NASAW00011573,11-11-1976,Female
NASAW00011574,14-01-1971,Female
NASAW00011575,19-10-1970,Male
NASAW00011576,10-08-1970,Male
NASAW00011577,21-04-1971,Female
NASAW00011578,08-05-1970,Female
NASAW00011579,13-02-1981,Male
NASAW00011580,12-03-1939,Male
NASAW00011581,03-03-2045,Female
NASAW00011582,09-04-1974,Female
NASAW00011583,26-03-1971,Female
NASAW00011584,22-05-1971,Male
NASAW00011585,04-03-1976,Female
NASAW00011586,14-06-1971,Male
NASAW00011587,18-10-1975,Male
NASAW00011588,11-01-1970,Female
NASAW00011589,01-05-1975,Female
NASAW00011590,12-04-1980,Female
NASAW00011591,12-11-1968,Female
NASAW00011592,03-03-1984,Male
NASAW00011593,22-09-1982,Male
NASAW00011594,03-05-1985,Male
NASAW00011595,29-12-1984,Male
NASAW00011596,02-03-1969,Male
NASAW00011597,06-08-1983,Female
NASAW00011598,30-12-1983,Female
NASAW00011599,16-03-1983,Female
NASAW00011600,05-10-1982,Female
NASAW00011601,18-02-1983,Male
NASAW00011602,11-10-1982,Male
NASAW00011603,06-08-1982,Male
NASAW00011604,01-12-1982,Male
NASAW00011605,20-05-1982,Female
NASAW00011606,30-01-1986,Female
NASAW00011607,05-05-1986,Male
NASAW00011608,01-09-1981,Male
NASAW00011609,24-12-1981,Male
NASAW00011610,20-10-1980,Male
NASAW00011611,23-02-1985,Male
NASAW00011612,07-10-1985,Male
NASAW00011613,02-05-1981,Female
NASAW00011614,13-02-1981,Female
NASAW00011615,20-05-1981,Male
NASAW00011616,05-09-1980,Female
NASAW00011617,01-10-1964,Male
NASAW00011618,21-10-1964,Male
NASAW00011619,29-10-1978,Female
NASAW00011620,18-10-1978,Female
NASAW00011621,19-08-1978,Female
NASAW00011622,16-06-1979,Male
NASAW00011623,25-12-1978,Female
NASAW00011624,19-03-1984,Male
NASAW00011625,19-07-1978,Male
NASAW00011626,12-12-1978,Female
NASAW00011627,27-08-1978,Male
NASAW00011628,14-11-1977,Female
NASAW00011629,07-08-1976,Male
NASAW00011630,23-06-1977,Female
NASAW00011631,12-08-1976,Male
NASAW00011632,02-05-1982,Female
NASAW00011633,23-11-1977,Male
NASAW00011634,10-12-1977,Male
NASAW00011635,11-08-1983,Male
NASAW00011636,21-06-1978,Female
NASAW00011637,11-08-1983,Female
NASAW00011638,09-09-1977,Male
NASAW00011639,22-06-1978,Female
NASAW00011640,31-10-1975,Female
NASAW00011641,09-02-1976,Male
NASAW00011642,24-06-1976,Female
NASAW00011643,24-01-1976,Female
NASAW00011644,06-04-1975,Male
NASAW00011645,18-04-1975,Female
NASAW00011646,15-03-1980,Female
NASAW00011647,22-03-1975,Male
NASAW00011648,12-04-1980,Male
NASAW00011649,23-01-1980,Male
NASAW00011650,23-01-1975,Male
NASAW00011651,13-12-1982,Female
NASAW00011652,01-05-1982,Male
NASAW00011653,04-06-1982,Female
NASAW00011654,18-03-1977,Female
NASAW00011655,28-03-1982,Female
NASAW00011656,19-03-1977,Female
NASAW00011657,31-10-1976,Female
NASAW00011658,03-08-1985,Male
NASAW00011659,20-10-1974,Male
NASAW00011660,19-01-1980,Female
NASAW00011661,03-01-1981,Male
NASAW00011662,01-01-1976,Male
NASAW00011663,25-08-1975,Male
NASAW00011664,09-08-1975,Female
NASAW00011665,11-06-1976,Female
NASAW00011666,13-12-1981,Male
NASAW00011667,18-12-1972,Male
NASAW00011668,02-03-1984,Female
NASAW00011669,17-10-1978,Female
NASAW00011670,15-04-1973,Female
NASAW00011671,15-11-1971,Female
NASAW00011672,20-03-1972,Male
NASAW00011673,03-02-1977,Female
NASAW00011674,15-02-1972,Female
NASAW00011675,29-01-1977,Male
NASAW00011676,13-08-1971,Male
NASAW00011677,10-10-1980,Male
NASAW00011678,28-07-1974,Male
NASAW00011679,05-11-1974,Male
NASAW00011680,04-03-1975,Female
NASAW00011681,04-02-1975,Female
NASAW00011682,12-03-1980,Female
NASAW00011683,05-07-1974,Male
NASAW00011684,31-03-1971,Male
NASAW00011685,07-08-1970,Male
NASAW00011686,09-04-1976,Male
NASAW00011687,09-07-1976,Male
NASAW00011688,21-12-1976,Female
NASAW00011689,06-03-1971,Male
NASAW00011690,10-01-1976,Female
NASAW00011691,30-12-1974,Female
NASAW00011692,17-12-1969,Male
NASAW00011693,21-09-1975,Female
NASAW00011694,21-09-1969,Male
NASAW00011695,10-07-1969,Male
NASAW00011696,02-04-1975,Female
NASAW00011697,21-06-1975,Male
NASAW00011698,22-11-1975,Male
NASAW00011699,12-09-1968,Male
NASAW00011700,24-05-1969,Male
NASAW00011701,16-08-1985,Male
NASAW00011702,13-10-1974,Female
NASAW00011703,22-12-1973,Female
NASAW00011704,29-11-1973,Male
NASAW00011705,18-05-1979,Female
NASAW00011706,13-08-1968,Male
NASAW00011707,20-06-1969,Female
NASAW00011708,15-09-1974,Female
NASAW00011709,18-08-1968,Female
NASAW00011710,17-09-1967,Female
NASAW00011711,04-12-1973,Male
NASAW00011712,02-05-1968,Female
NASAW00011713,17-09-1967,Male
NASAW00011714,16-04-1968,Female
NASAW00011715,20-03-1968,Female
NASAW00011716,20-04-1967,Male
NASAW00011717,29-08-1972,Male
NASAW00011718,10-11-1972,Female
NASAW00011719,05-05-1971,Male
NASAW00011720,23-09-1965,Female
NASAW00011721,18-01-1971,Female
NASAW00011722,30-12-1965,Male
NASAW00011723,17-02-1973,Male
NASAW00011724,12-10-1972,Male
NASAW00011725,16-03-1973,Male
NASAW00011726,13-01-1973,Male
NASAW00011727,05-01-1973,Male
NASAW00011728,06-07-1965,Male
NASAW00011729,03-05-1971,Male
NASAW00011730,01-04-1966,Female
NASAW00011731,16-02-1966,Female
NASAW00011732,04-02-1970,Male
NASAW00011733,23-07-1970,Female
NASAW00011734,21-08-1970,Male
NASAW00011735,21-07-1964,Female
NASAW00011736,21-09-1970,Male
NASAW00011737,04-02-1970,Female
NASAW00011738,05-10-1970,Male
NASAW00011739,10-11-1964,Male
NASAW00011740,21-10-1964,Female
NASAW00011741,22-01-1965,Female
NASAW00011742,01-05-1964,Male
NASAW00011743,09-09-1974,Male
NASAW00011744,06-03-1964,Female
NASAW00011745,11-04-1964,Female
NASAW00011746,30-05-1964,Male
NASAW00011747,09-08-1963,Female
NASAW00011748,15-01-1964,Male
NASAW00011749,09-09-1980,Male
NASAW00011750,17-09-1984,Female
NASAW00011751,14-01-1976,Female
NASAW00011752,03-05-1981,Female
NASAW00011753,15-09-1975,Female
NASAW00011754,05-01-1976,Female
NASAW00011755,12-11-1973,Male
NASAW00011756,13-03-1974,Female
NASAW00011757,11-05-1979,Male
NASAW00011758,19-12-1979,Male
NASAW00011759,18-11-1980,Female
NASAW00011760,25-04-1973,Female
NASAW00011761,16-10-1972,Male
NASAW00011762,17-02-1984,Male
NASAW00011763,10-08-1972,Male
NASAW00011764,13-01-1973,Female
NASAW00011765,06-04-1983,Male
NASAW00011766,01-01-1972,Female
NASAW00011767,20-05-1977,Female
NASAW00011768,03-04-1983,Male
NASAW00011769,14-02-1979,Female
NASAW00011770,20-02-1979,Male
NASAW00011771,07-04-1979,Male
NASAW00011772,21-01-1984,Male
NASAW00011773,03-01-1979,Male
NASAW00011774,10-10-1978,Female
NASAW00011775,22-11-2050,Female
